Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,25.700001,25.700001,25.700001,25.700001,11.018336,0
2008-01-03,25.23,25.23,25.23,25.23,10.816835,0
2008-01-04,25.51,25.51,25.51,25.51,10.936878,0
2008-01-07,24.85,24.85,24.85,24.85,10.653916,0
2008-01-08,25.379999,25.379999,25.379999,25.379999,10.881144,0
2008-01-09,25.83,25.83,25.83,25.83,11.074071,0
2008-01-10,25.73,25.73,25.73,25.73,11.031199,0
2008-01-11,25.610001,25.610001,25.610001,25.610001,10.979751,0
2008-01-14,25.860001,25.860001,25.860001,25.860001,11.086933,0
2008-01-15,26.200001,26.200001,26.200001,26.200001,11.232701,0
2008-01-16,25.35,25.35,25.35,25.35,10.868279,0
2008-01-17,24.93,24.93,24.93,24.93,10.688217,0
2008-01-18,24.950001,24.950001,24.950001,24.950001,10.696789,0
2008-01-21,24.700001,24.700001,24.700001,24.700001,10.589605,0
2008-01-22,23.18,23.18,23.18,23.18,9.937941,0
2008-01-23,22.85,22.85,22.85,22.85,9.796459,0
2008-01-24,23.1,23.1,23.1,23.1,9.903642,0
2008-01-25,23.48,23.48,23.48,23.48,10.066557,0
2008-01-28,22.629999,22.629999,22.629999,22.629999,9.702136,0
2008-01-29,22.85,22.85,22.85,22.85,9.796459,0
2008-01-30,22.76,22.76,22.76,22.76,9.757874,0
2008-01-31,22.790001,22.790001,22.790001,22.790001,9.770734,0
2008-02-01,23.200001,23.200001,23.200001,23.200001,9.946515,0
2008-02-12,22.77,22.77,22.77,22.77,9.76216,0
2008-02-13,22.6,22.6,22.6,22.6,9.689277,0
2008-02-14,23.440001,23.440001,23.440001,23.440001,10.049408,0
2008-02-15,23.389999,23.389999,23.389999,23.389999,10.027971,0
2008-02-18,23.5,23.5,23.5,23.5,10.075131,0
2008-02-19,23.91,23.91,23.91,23.91,10.250912,0
2008-02-20,23.42,23.42,23.42,23.42,10.040834,0
2008-02-21,23.950001,23.950001,23.950001,23.950001,10.268061,0
2008-02-22,23.82,23.82,23.82,23.82,10.212325,0
2008-02-25,24.34,24.34,24.34,24.34,10.435266,0
2008-02-26,24.440001,24.440001,24.440001,24.440001,10.478135,0
2008-02-27,24.860001,24.860001,24.860001,24.860001,10.658202,0
2008-02-29,24.82,24.82,24.82,24.82,10.641055,0
2008-03-03,24.540001,24.540001,24.540001,24.540001,10.521009,0
2008-03-04,25.139999,25.139999,25.139999,25.139999,10.778246,0
2008-03-05,25.219999,25.219999,25.219999,25.219999,10.812547,0
2008-03-06,25.780001,25.780001,25.780001,25.780001,11.052635,0
2008-03-07,25.4,25.4,25.4,25.4,10.889717,0
2008-03-10,24.889999,24.889999,24.889999,24.889999,10.671065,0
2008-03-11,25.040001,25.040001,25.040001,25.040001,10.735374,0
2008-03-12,25.139999,25.139999,25.139999,25.139999,10.778246,0
2008-03-13,24.48,24.48,24.48,24.48,10.495288,0
2008-03-14,24.299999,24.299999,24.299999,24.299999,10.418114,0
2008-03-17,23.83,23.83,23.83,23.83,10.216613,0
2008-03-18,24.049999,24.049999,24.049999,24.049999,10.310933,0
2008-03-19,24.309999,24.309999,24.309999,24.309999,10.422401,0
2008-03-20,24.66,24.66,24.66,24.66,10.572457,0
2008-03-21,25.09,25.09,25.09,25.09,10.756813,0
2008-03-24,25.870001,25.870001,25.870001,25.870001,11.091221,0
2008-03-25,25.82,25.82,25.82,25.82,11.069782,0
2008-03-26,25.790001,25.790001,25.790001,25.790001,11.056924,0
2008-03-27,25.559999,25.559999,25.559999,25.559999,10.958314,0
2008-03-28,25.719999,25.719999,25.719999,25.719999,11.026911,0
2008-03-31,25.639999,25.639999,25.639999,25.639999,10.992615,0
2008-04-01,25.26,25.26,25.26,25.26,10.829695,0
2008-04-02,25.709999,25.709999,25.709999,25.709999,11.022621,0
2008-04-03,25.58,25.58,25.58,25.58,10.966888,0
2008-04-07,25.9,25.9,25.9,25.9,11.104083,0
2008-04-08,25.67,25.67,25.67,25.67,11.005475,0
2008-04-09,25.629999,25.629999,25.629999,25.629999,10.988327,0
2008-04-10,26.040001,26.040001,26.040001,26.040001,11.164105,0
2008-04-11,26.18,26.18,26.18,26.18,11.224126,0
2008-04-14,26.299999,26.299999,26.299999,26.299999,11.275575,0
2008-04-15,26.360001,26.360001,26.360001,26.360001,11.301295,0
2008-04-16,26.68,26.68,26.68,26.68,11.438493,0
2008-04-17,26.76,26.76,26.76,26.76,11.472789,0
2008-04-18,26.780001,26.780001,26.780001,26.780001,11.481364,0
2008-04-21,26.76,26.76,26.76,26.76,11.472789,0
2008-04-22,26.690001,26.690001,26.690001,26.690001,11.442778,0
2008-04-23,26.68,26.68,26.68,26.68,11.438493,0
2008-04-24,26.68,26.68,26.68,26.68,11.438493,0
2008-04-25,26.620001,26.620001,26.620001,26.620001,11.412766,0
2008-04-28,26.84,26.84,26.84,26.84,11.507091,0
2008-04-29,26.309999,26.309999,26.309999,26.309999,11.279861,0
2008-04-30,26.42,26.42,26.42,26.42,11.327022,0
2008-05-02,26.49,26.49,26.49,26.49,11.357032,0
2008-05-05,26.200001,26.200001,26.200001,26.200001,11.232701,0
2008-05-06,26.27,26.27,26.27,26.27,11.262713,0
2008-05-07,26.4,26.4,26.4,26.4,11.318444,0
2008-05-08,26.18,26.18,26.18,26.18,11.224126,0
2008-05-09,26.030001,26.030001,26.030001,26.030001,11.159817,0
2008-05-12,26.110001,26.110001,26.110001,26.110001,11.194114,0
2008-05-13,26.58,26.58,26.58,26.58,11.395617,0
2008-05-14,26.67,26.67,26.67,26.67,11.434202,0
2008-05-15,27.129999,27.129999,27.129999,27.129999,11.63142,0
2008-05-16,27.23,27.23,27.23,27.23,11.674292,0
2008-05-19,27.58,27.58,27.58,27.58,11.824347,0
2008-05-20,26.99,26.99,26.99,26.99,11.571397,0
2008-05-21,26.799999,26.799999,26.799999,26.799999,11.48994,0
2008-05-22,26.530001,26.530001,26.530001,26.530001,11.374182,0
2008-05-23,26.23,26.23,26.23,26.23,11.245564,0
2008-05-26,25.940001,25.940001,25.940001,25.940001,11.121233,0
2008-05-27,26.08,26.08,26.08,26.08,11.181254,0
2008-05-28,25.73,25.73,25.73,25.73,11.031199,0
