Date,Open,High,Low,Close,Adj Close,Volume
2009-01-05,903,908,892,894,603.636292,1973910
2009-01-06,897,901,890,893,602.96106,2610390
2009-01-07,909,912,902,906,611.738892,4086000
2009-01-08,886,890,876,876,591.482544,2681450
2009-01-09,870,879,868,872,588.781738,3856500
2009-01-13,835,838,830,830,560.422913,8353720
2009-01-14,843,846,836,839,566.499817,3388280
2009-01-15,817,820,811,812,548.269226,4669110
2009-01-16,827.421875,836,823,836,564.474182,3078890
2009-01-19,835,839,834,834,563.123779,2633920
2009-01-20,816,825,815,822,555.02124,2507130
2009-01-21,813,815,803,804,542.867432,6456120
2009-01-22,803,816,801,816,550.970032,2350060
2009-01-23,799,801,791,791,534.089844,3707400
2009-01-26,791,796,785,785,530.038574,1301030
2009-01-27,817,820,814,820,553.670776,2806210
2009-01-28,821,830,819,824,556.371704,2054450
2009-01-29,834,835,825,833,562.448669,2154810
2009-01-30,812,813,803,813,548.944397,4092460
2009-02-02,800,800,789,792,534.765076,2823540
2009-02-03,806,815,789,790,533.414612,1957090
2009-02-04,800,813,799,808,545.568359,2184820
2009-02-05,811,817,801,802,541.51709,1149120
2009-02-06,813,813,804,808,545.568359,1645980
2009-02-09,810,810,795,795,536.79071,1590170
2009-02-10,799,801,791,795,536.79071,3025550
2009-02-12,778,781,774,776,523.961792,3913820
2009-02-13,779,779,779,779,525.987305,2834630
2009-02-16,783,788,782,785,530.038574,5177450
2009-02-17,775,776,774,774,522.611328,3290570
2009-02-18,765,768,762,765,516.534363,2470060
2009-02-19,761,773,761,768,518.560059,1827930
2009-02-20,761,763,756,756,510.45755,3242320
2009-02-23,754,755,745,750,506.406372,3999120
2009-02-24,739,747,737,746,503.705444,2886310
2009-02-25,755,763,749,763,515.184021,3013120
2009-02-26,764,768,755,758,511.807922,2349450
2009-02-27,763,774,763,773,521.936035,2370290
2009-03-02,753,753,746,751,507.081482,2309210
2009-03-03,745,749,741,744,502.355072,2257470
2009-03-04,739,752,739,748,505.055878,2554680
2009-03-05,764,766,758,758,511.807922,1792160
2009-03-06,745,747,738,738,498.303802,2623530
2009-03-09,727,733,721,728,491.551697,5603430
2009-03-10,718,723,717,718,484.799591,5275370
2009-03-11,744,746,737,737,497.628601,3542500
2009-03-12,719,722,714,719,485.474823,3105880
2009-03-13,739,739,737,738,498.303802,4138830
2009-03-16,764,764,757,758,511.807922,2696970
2009-03-17,768,778,766,778,525.312073,4236210
2009-03-18,782,786,773,781,527.33783,4600950
2009-03-19,780,785,772,781,527.33783,2935340
2009-03-23,800,811,800,810,546.918762,5911570
2009-03-24,822,830,817,830,560.422913,4661210
2009-03-25,832,839,827,834,563.123779,2512100
2009-03-26,845,855,843,855,577.303101,2586210
2009-03-27,860,865,851,852,575.277649,3843850
2009-03-30,833,838,812,812,548.269226,4236040
2009-03-31,820,820,792,797,538.141052,4795530
2009-04-01,819,821,810,821,554.346069,5243820
2009-04-02,848,851,844,851,574.602234,10484930
2009-04-03,860,868,851,857,578.653625,4143300
2009-04-06,872,873,853,856,577.978271,2733290
2009-04-07,861,861,856,861,581.354431,1998820
2009-04-08,844,844,843,843,569.200623,6771060
2009-04-09,855,870,854,868,586.080933,1998620
2009-04-10,872,873,859,872,588.781738,4185450
2009-04-13,877,884,874,878,592.832947,3092010
2009-04-14,866,873,863,868,586.080933,3282890
2009-04-15,858,864,852,860,580.679138,1583150
2009-04-16,873,875,856,857,578.653625,2276840
2009-04-17,874,875,866,875,590.807312,3313050
2009-04-20,869,876,867,876,591.482544,2644550
2009-04-21,847,855,847,855,577.303101,3060260
2009-04-22,855,860,851,856,577.978271,1548400
2009-04-23,852,868,850,862,582.029602,5022010
2009-04-24,867,867,855,858,579.328735,2528740
2009-04-27,861,862,847,855,577.303101,5387700
2009-04-28,857,858,838,839,566.499817,3197110
2009-04-30,867,868,859,866,584.73053,2431460
2009-05-01,864,871,864,871,588.106567,1931870
2009-05-07,910,911,899,910,614.439514,3967670
2009-05-08,910,918,908,918,619.84137,4787430
2009-05-11,919,928,919,926,625.242859,5083320
2009-05-12,916,918,910,913,616.465271,3033270
2009-05-13,911,915,911,915,617.815552,3396080
2009-05-14,890,893,885,888,599.585083,3125170
2009-05-15,904,906,902,906,611.738892,3631620
2009-05-18,884,890,883,885,597.559448,2251170
2009-05-19,904,906,900,906,611.738892,2121720
2009-05-20,908,912,908,911,615.114746,2411630
2009-05-21,901,907,900,907,612.414001,1232790
2009-05-22,905,905,897,900,607.6875,1602760
2009-05-25,906,912,904,908,613.089111,2908160
2009-05-26,905,911,903,909,613.764465,2420870
2009-05-27,922,925,916,919,620.516479,3557020
2009-05-28,919,922,918,922,622.542114,2436090
2009-05-29,919,924,916,922,622.542114,2914590
2009-06-01,933,938,933,938,633.345398,4795870
