Date,Open,High,Low,Close,Adj Close,Volume
2007-04-10,75.07,75.260002,75,75.239998,41.084572,35000
2007-04-11,75.160004,75.290001,75.029999,75.040001,40.975426,87700
2007-04-12,75.059998,75.080002,74.959999,75.029999,40.969879,78100
2007-04-13,75.040001,75.07,74.849998,74.910004,40.904415,18000
2007-04-16,74.989998,74.989998,74.940002,74.980003,40.942616,52700
2007-04-17,75.160004,75.169998,75.099998,75.169998,41.046349,25600
2007-04-18,75.25,75.330002,75.25,75.309998,41.122826,30400
2007-04-19,75.360001,75.360001,75.25,75.279999,41.10643,59700
2007-04-20,75.300003,75.32,75.209999,75.260002,41.095512,32200
2007-04-23,75.279999,75.43,75.220001,75.360001,41.150112,43200
2007-04-24,75.389999,75.5,75.139999,75.480003,41.215614,77500
2007-04-25,75.43,75.550003,75.389999,75.419998,41.182865,264200
2007-04-26,75.379997,75.379997,75.25,75.260002,41.095512,68400
2007-04-27,75.279999,75.290001,75.209999,75.239998,41.084572,44800
2007-04-30,75.419998,75.489998,75.389999,75.489998,41.221088,35900
2007-05-01,75.370003,75.389999,75.209999,75.32,41.197575,54800
2007-05-02,75.370003,75.410004,75.290001,75.330002,41.203007,28900
2007-05-03,75.330002,75.330002,75.059998,75.279999,41.175701,33800
2007-05-04,75.379997,75.419998,75.300003,75.339996,41.208492,19200
2007-05-07,75.360001,75.519997,75.339996,75.389999,41.235851,135500
2007-05-08,75.480003,75.489998,75.330002,75.400002,41.241329,34000
2007-05-09,75.470001,75.470001,75.290001,75.309998,41.19212,50200
2007-05-10,75.309998,75.379997,75.309998,75.379997,41.230404,42000
2007-05-11,75.470001,75.470001,75.260002,75.279999,41.175701,38200
2007-05-14,75.300003,75.300003,75.18,75.230003,41.148373,71200
2007-05-15,75.290001,75.300003,75.18,75.199997,41.131916,31600
2007-05-16,75.199997,75.269997,75.169998,75.230003,41.148373,56600
2007-05-17,75.160004,75.18,75.089996,75.120003,41.088169,42700
2007-05-18,75.080002,75.080002,74.93,74.940002,40.989742,62200
2007-05-21,74.949997,75.050003,74.879997,75.040001,41.044392,49400
2007-05-22,75.040001,75.050003,74.889999,74.919998,40.97879,49800
2007-05-23,74.940002,74.959999,74.779999,74.860001,40.945988,47200
2007-05-24,74.830002,74.870003,74.690002,74.849998,40.940514,38600
2007-05-25,74.809998,74.870003,74.800003,74.860001,40.945988,21100
2007-05-29,74.769997,74.800003,74.690002,74.760002,40.891285,27900
2007-05-30,74.879997,74.900002,74.790001,74.830002,40.929565,35200
2007-05-31,74.830002,74.830002,74.669998,74.769997,40.896706,52200
2007-06-01,74.43,74.43,74.32,74.339996,40.802322,84900
2007-06-04,74.389999,74.43,74.330002,74.419998,40.846241,28500
2007-06-05,74.370003,74.410004,74.25,74.300003,40.780392,37400
2007-06-06,74.269997,74.389999,74.260002,74.370003,40.818813,185900
2007-06-07,74.099998,74.099998,73.739998,73.849998,40.533394,75500
2007-06-08,73.75,73.860001,73.639999,73.839996,40.527927,62700
2007-06-11,73.760002,73.849998,73.709999,73.760002,40.484016,77100
2007-06-12,73.610001,73.610001,73.360001,73.400002,40.28643,405400
2007-06-13,73.419998,73.599998,73.339996,73.57,40.3797,93800
2007-06-14,73.550003,73.639999,73.470001,73.470001,40.324825,109800
2007-06-15,73.68,73.839996,73.650002,73.839996,40.527927,108600
2007-06-18,73.830002,73.940002,73.730003,73.760002,40.484016,60300
2007-06-19,74.019997,74.199997,73.940002,74.110001,40.676109,73400
2007-06-20,74.029999,74.040001,73.75,73.75,40.478516,70300
2007-06-21,73.93,73.940002,73.730003,73.790001,40.50045,38500
2007-06-22,73.730003,74,73.690002,73.900002,40.560825,55800
2007-06-25,74.099998,74.18,73.970001,74.099998,40.670612,85500
2007-06-26,74.139999,74.18,74.029999,74.07,40.654156,163100
2007-06-27,74.269997,74.269997,74.099998,74.129997,40.687057,212000
2007-06-28,74.160004,74.160004,73.940002,74.029999,40.632195,74300
2007-06-29,74.160004,74.279999,74.129997,74.279999,40.769405,389200
2007-07-02,74.099998,74.25,73.980003,74.230003,40.870167,74900
2007-07-03,74.269997,74.330002,74.059998,74.080002,40.787571,21900
2007-07-05,73.93,73.93,73.75,73.779999,40.622429,43100
2007-07-06,73.68,73.690002,73.589996,73.629997,40.539818,55400
2007-07-09,73.720001,73.739998,73.650002,73.709999,40.583858,34900
2007-07-10,73.959999,74.089996,73.889999,74.089996,40.793076,110400
2007-07-11,74.050003,74.089996,73.82,73.910004,40.693977,37300
2007-07-12,74.029999,74.029999,73.709999,73.809998,40.63892,28100
2007-07-13,73.900002,73.980003,73.730003,73.93,40.704994,86400
2007-07-16,73.910004,74.139999,73.910004,74.129997,40.815098,66700
2007-07-17,74.059998,74.089996,73.889999,74.040001,40.765537,37500
2007-07-18,74.089996,74.25,74.019997,74.160004,40.8316,51500
2007-07-19,74.019997,74.129997,73.980003,74.129997,40.815098,23500
2007-07-20,74.220001,74.419998,74.220001,74.339996,40.930706,46300
2007-07-23,74.290001,74.330002,74.169998,74.32,40.919731,36700
2007-07-24,74.379997,74.389999,74.25,74.349998,40.936245,31400
2007-07-25,74.400002,74.459999,74.370003,74.419998,40.974766,24900
2007-07-26,74.650002,74.709999,74.489998,74.709999,41.134476,51500
2007-07-27,74.599998,74.699997,74.510002,74.650002,41.101425,45700
2007-07-30,74.580002,74.709999,74.519997,74.580002,41.062843,33600
2007-07-31,74.5,74.730003,74.339996,74.730003,41.145466,24300
2007-08-01,74.459999,74.489998,74.260002,74.389999,41.125557,32600
2007-08-02,74.410004,74.540001,74.230003,74.519997,41.197437,40600
2007-08-03,74.610001,74.800003,74.580002,74.769997,41.335594,118800
2007-08-06,74.800003,74.800003,74.489998,74.559998,41.219555,34100
2007-08-07,74.629997,74.709999,74.400002,74.599998,41.241642,41700
2007-08-08,74.43,74.470001,74.230003,74.360001,41.108978,40900
2007-08-09,74.620003,74.699997,74.330002,74.529999,41.202961,44900
2007-08-10,74.690002,74.690002,74.309998,74.389999,41.125557,33900
2007-08-13,74.260002,74.519997,74.25,74.459999,41.164257,354100
2007-08-14,74.410004,74.650002,74.370003,74.639999,41.263786,38900
2007-08-15,74.720001,74.720001,74.309998,74.650002,41.269302,33600
2007-08-16,74.68,74.949997,74.519997,74.639999,41.263786,43100
2007-08-17,74.75,74.889999,74.690002,74.870003,41.390938,37300
2007-08-20,74.970001,75.07,74.699997,74.709999,41.302479,66500
2007-08-21,75.139999,75.160004,74.970001,74.970001,41.446198,24900
2007-08-22,74.900002,75.050003,74.860001,74.970001,41.446198,38900
2007-08-23,74.919998,75.07,74.889999,74.970001,41.446198,46600
2007-08-24,75.029999,75.07,74.889999,75.040001,41.484898,54300
2007-08-27,74.93,75.309998,74.93,75.309998,41.634159,82200
2007-08-28,75.360001,75.550003,75.339996,75.519997,41.750237,55400
2007-08-29,75.440002,75.519997,75.279999,75.349998,41.656311,92200
2007-08-30,75.470001,75.519997,75.410004,75.480003,41.728138,44500
2007-08-31,75.290001,90.910004,75.290001,75.529999,41.755817,23600
2007-09-04,75.290001,75.32,75.050003,75.190002,41.730251,85500
2007-09-05,75.339996,75.489998,75.230003,75.480003,41.891182,56800
2007-09-06,75.440002,75.470001,75.269997,75.339996,41.813507,46500
2007-09-07,75.779999,75.870003,75.57,75.809998,42.074375,45700
2007-09-10,75.949997,76.139999,75.900002,76.029999,42.196453,94800
2007-09-11,75.970001,76.019997,75.849998,75.849998,42.09655,36400
2007-09-12,75.830002,75.830002,75.699997,75.730003,42.029953,73900
2007-09-13,75.599998,75.629997,75.470001,75.540001,41.924496,77800
2007-09-14,75.839996,75.839996,75.440002,75.550003,41.930077,45800
2007-09-17,75.580002,75.610001,75.449997,75.610001,41.963329,39300
2007-09-18,75.580002,75.919998,75.449997,75.82,42.079918,74700
2007-09-19,75.800003,75.800003,75.589996,75.699997,42.013317,93600
2007-09-20,75.550003,75.580002,75.139999,75.160004,41.713604,112700
2007-09-21,75.370003,75.480003,75.220001,75.480003,41.891182,233800
2007-09-24,75.400002,75.459999,75.349998,75.43,41.863457,121500
2007-09-25,75.68,75.709999,75.459999,75.480003,41.891182,77500
2007-09-26,75.379997,75.57,75.339996,75.5,41.902332,173600
2007-09-27,75.5,75.690002,75.489998,75.660004,41.991096,36300
2007-09-28,75.870003,75.870003,75.559998,75.690002,42.007748,129200
2007-10-01,75.279999,75.470001,75.279999,75.360001,41.981575,246000
2007-10-02,75.470001,75.629997,75.389999,75.629997,42.132,214300
2007-10-03,75.68,75.690002,75.449997,75.589996,42.109703,99300
2007-10-04,75.57,75.669998,75.5,75.669998,42.154289,70200
2007-10-05,75.400002,75.43,75.25,75.349998,41.97604,80500
2007-10-08,75.540001,75.599998,75.379997,75.57,42.098568,43600
2007-10-09,75.400002,75.449997,75.269997,75.32,41.959286,67200
2007-10-10,75.330002,75.459999,75.290001,75.400002,42.003853,69900
2007-10-11,75.25,75.480003,75.209999,75.470001,42.042854,125100
2007-10-12,75.32,75.480003,75.290001,75.349998,41.97604,61200
2007-10-15,75.260002,75.5,75.239998,75.290001,41.942589,394500
2007-10-16,75.43,75.459999,75.370003,75.449997,42.031738,107100
2007-10-17,75.529999,75.830002,75.449997,75.830002,42.243393,90200
2007-10-18,75.889999,75.949997,75.849998,75.93,42.299091,92000
2007-10-19,76.059998,76.290001,76.040001,76.290001,42.49966,117300
2007-10-22,76.199997,76.269997,76.129997,76.239998,42.471806,90200
2007-10-23,76.160004,76.300003,76.139999,76.220001,42.460659,84800
2007-10-24,76.43,76.610001,76.379997,76.519997,42.627762,207300
2007-10-25,76.5,76.550003,76.400002,76.459999,42.594337,88600
2007-10-26,76.32,76.470001,76.220001,76.349998,42.533039,154300
2007-10-29,76.290001,76.400002,76.25,76.360001,42.538662,54500
2007-10-30,76.330002,76.379997,76.279999,76.379997,42.549809,86800
2007-10-31,76.269997,76.349998,76,76.099998,42.393829,116100
2007-11-01,75.940002,76.260002,75.940002,76.25,42.637058,141200
2007-11-02,76.089996,76.410004,76.089996,76.339996,42.687397,105800
2007-11-05,76.43,76.43,76.050003,76.120003,42.564384,63500
