Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,24.90909,25,24.545454,24.81818,8.642773,822800
2000-01-04,24.81818,24.81818,23.636362,23.90909,8.326189,2645500
2000-01-05,23.454544,23.454544,22.363636,22.363636,7.787995,4281200
2000-01-06,22.727272,22.90909,21.272726,21.90909,7.629704,2774200
2000-01-07,21.90909,22.727272,21.636362,22.727272,7.914629,4013900
2000-01-10,23,23.363636,22.272726,22.272726,7.756334,1690700
2000-01-11,22.636362,22.727272,21.454544,21.727272,7.566385,3528800
2000-01-12,21.727272,22.81818,21.272726,22.545454,7.851313,4830100
2000-01-13,22.545454,22.545454,21.454544,21.727272,7.566385,6508700
2000-01-14,21.81818,21.81818,21.363636,21.727272,7.566385,3202100
2000-01-17,21.90909,21.90909,20.81818,20.90909,7.281458,4435200
2000-01-18,20.90909,21,20.454544,20.545454,7.154824,4544100
2000-01-19,20.272726,20.363636,20,20,6.964875,4521000
2000-01-20,20,20.727272,20,20.636362,7.186481,5710100
2000-01-21,20.545454,20.545454,19.727272,19.90909,6.933216,7753900
2000-01-24,19.90909,20,19.272726,19.454544,6.774923,4823500
2000-01-25,19.090908,19.90909,18.90909,19.727272,6.869896,4013900
2000-01-26,20,20.454544,19.81818,20.363636,7.091504,2949100
2000-01-27,20.363636,21.545454,20.363636,21.545454,7.503067,3922600
2000-01-28,21.545454,22.090908,20.727272,20.727272,7.218142,4488000
2000-01-31,20.636362,20.81818,20.090908,20.727272,7.218142,3010700
2000-02-01,20.90909,21.090908,20.454544,20.81818,7.249798,1546600
2000-02-02,20.81818,21.727272,20.454544,21.545454,7.503067,2399100
2000-02-03,21.636362,21.81818,21.363636,21.636362,7.534727,3271400
2000-02-04,21.454544,21.454544,21.181818,21.363636,7.439748,3300000
2000-02-07,21.363636,21.363636,21.363636,21.363636,7.439748,0
2000-02-08,21.363636,21.545454,20.363636,20.636362,7.186481,2948000
2000-02-09,20.727272,20.727272,19.81818,20,6.964875,3719100
2000-02-10,19.90909,19.90909,18.90909,19.181818,6.679944,13940300
2000-02-11,19.181818,19.636362,18.545454,19,6.616627,10775600
2000-02-14,19,19.81818,18.727272,19.81818,6.901556,4262500
2000-02-15,20,20.181818,19.181818,19.454544,6.774923,3533200
