Date,Open,High,Low,Close,Adj Close,Volume
2014-05-30,24.780001,24.780001,24.780001,24.780001,24.780001,0
2014-06-02,24.8237,24.8237,24.8237,24.8237,24.8237,0
2014-06-03,24.9748,24.9748,24.9748,24.9748,24.9748,0
2014-06-04,24.8773,24.8773,24.8773,24.8773,24.8773,0
2014-06-05,24.9627,24.9627,24.9627,24.9627,24.9627,0
2014-06-06,25.1863,25.1863,25.1863,25.1863,25.1863,0
2014-06-09,25.42,25.42,25.42,25.42,25.42,0
2014-06-10,25.58,25.58,25.58,25.58,25.58,0
2014-06-11,25.549999,25.639999,25.549999,25.51,25.51,37846
2014-06-12,25.68,25.719999,25.68,25.559999,25.559999,8000
2014-06-13,25.450001,25.450001,25.450001,25.450001,25.450001,0
2014-06-16,25.5,25.5,25.5,25.33,25.33,4474
2014-06-17,25.41,25.41,25.41,25.299999,25.299999,500
2014-06-18,25.27,25.27,25.27,25.27,25.27,0
2014-06-19,25.530001,25.6,25.530001,25.540001,25.540001,31246
2014-06-20,25.370001,25.370001,25.370001,25.370001,25.370001,0
2014-06-23,25.34,25.34,25.34,25.34,25.34,0
2014-06-24,25.57,25.65,25.57,25.59,25.59,11922
2014-06-25,25.43,25.43,25.32,25.360001,25.360001,1052
2014-06-26,25.440001,25.440001,25.440001,25.440001,25.440001,0
2014-06-27,25.450001,25.450001,25.450001,25.450001,25.450001,0
2014-06-30,25.49,25.49,25.49,25.49,25.49,0
2014-07-01,25.620001,25.620001,25.620001,25.67,25.67,12000
2014-07-02,25.75,25.799999,25.75,25.709999,25.709999,1991
2014-07-03,25.85,25.85,25.85,25.84,25.84,525
2014-07-04,26,26,26,25.85,25.85,500
2014-07-07,25.85,25.940001,25.85,25.879999,25.879999,4300
2014-07-08,25.870001,25.870001,25.870001,25.870001,25.870001,0
2014-07-09,25.85,25.889999,25.85,25.92,25.92,1500
2014-07-10,25.6,25.629999,25.6,25.75,25.75,2000
2014-07-11,25.790001,25.790001,25.790001,25.790001,25.790001,0
2014-07-14,25.975,25.975,25.975,25.975,25.975,0
2014-07-15,25.950001,25.950001,25.950001,25.93,25.93,20132
2014-07-16,26.049999,26.049999,25.92,25.99,25.99,4618
2014-07-17,25.82,25.9,25.82,25.780001,25.780001,3704
2014-07-18,25.82,25.82,25.82,25.969999,25.969999,195
2014-07-21,25.92,25.92,25.92,25.93,25.93,195
2014-07-22,25.9,26.16,25.9,26.290001,26.290001,235670
2014-07-23,26.34,26.360001,26.299999,26.33,26.33,4106
2014-07-24,26.395,26.395,26.395,26.395,26.395,0
2014-07-25,26.370001,26.370001,26.370001,26.280001,26.280001,100
2014-07-28,26.42,26.43,26.370001,26.41,26.41,12750
2014-07-29,26.41,26.469999,26.41,26.389999,26.389999,17580
2014-07-30,26.24,26.24,26.24,26.24,26.24,0
2014-07-31,26.120001,26.120001,25.809999,25.77,25.77,19300
2014-08-01,25.825001,25.825001,25.825001,25.825001,25.825001,0
2014-08-04,26.004999,26.004999,26.004999,26.004999,26.004999,0
2014-08-05,25.99,25.99,25.99,25.85,25.85,100
2014-08-06,25.674999,25.674999,25.674999,25.674999,25.674999,0
2014-08-07,25.6,25.690001,25.6,25.58,25.58,1600
2014-08-08,25.65,25.65,25.65,25.629999,25.629999,7000
2014-08-11,25.629999,25.629999,25.629999,25.99,25.99,3700
2014-08-12,25.98,25.98,25.98,25.93,25.93,4376
2014-08-13,26.219999,26.219999,26.219999,26.18,26.18,1770
2014-08-14,26.15,26.27,26.15,26.23,26.23,17050
2014-08-15,26.190001,26.190001,26.190001,26.120001,26.120001,21000
2014-08-18,26.33,26.33,26.33,26.33,26.33,0
2014-08-19,26.440001,26.459999,26.440001,26.469999,26.469999,2890
2014-08-20,26.49,26.49,26.450001,26.5,26.5,3642
2014-08-21,26.32,26.440001,26.27,26.4,26.4,27822
2014-08-22,26.549999,26.549999,26.290001,26.389999,26.389999,64357
2014-08-26,26.549999,26.629999,26.52,26.610001,26.610001,123233
2014-08-27,26.700001,26.709999,26.67,26.700001,26.700001,12877
2014-08-28,26.440001,26.440001,26.440001,26.459999,26.459999,100
2014-08-29,26.6,26.6,26.6,26.540001,26.540001,541
