Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,3.5473,3.5473,3.5473,3.5473,2.219595,0
2008-01-03,3.48305,3.48305,3.48305,3.48305,2.179393,0
2008-01-04,3.52404,3.52404,3.52404,3.52404,2.205041,0
2008-01-07,3.43901,3.43901,3.43901,3.43901,2.151836,0
2008-01-08,3.42421,3.42421,3.42421,3.42421,2.142576,0
2008-01-09,3.4301,3.4301,3.4301,3.4301,2.146262,0
2008-01-10,3.39695,3.39695,3.39695,3.39695,2.125519,0
2008-01-11,3.37321,3.37321,3.37321,3.37321,2.110665,0
2008-01-14,3.30373,3.30373,3.30373,3.30373,2.06719,0
2008-01-15,3.24008,3.24008,3.24008,3.24008,2.027363,0
2008-01-16,3.1439,3.1439,3.1439,3.1439,1.967182,0
2008-01-17,3.22547,3.22547,3.22547,3.22547,2.018222,0
2008-01-18,3.19022,3.19022,3.19022,3.19022,1.996165,0
2008-01-21,3.00255,3.00255,3.00255,3.00255,1.878738,0
2008-01-22,2.95228,2.95228,2.95228,2.95228,1.847283,0
2008-01-23,3.06927,3.06927,3.06927,3.06927,1.920485,0
2008-01-24,3.07576,3.07576,3.07576,3.07576,1.924546,0
2008-01-25,3.18502,3.18502,3.18502,3.18502,1.992912,0
2008-01-28,3.06654,3.06654,3.06654,3.06654,1.918777,0
2008-01-29,3.07534,3.07534,3.07534,3.07534,1.924283,0
2008-01-30,3.02577,3.02577,3.02577,3.02577,1.893266,0
2008-01-31,3.00736,3.00736,3.00736,3.00736,1.881747,0
2008-02-01,3.03344,3.03344,3.03344,3.03344,1.898066,0
2008-02-04,3.10293,3.10293,3.10293,3.10293,1.941546,0
2008-02-05,3.06408,3.06408,3.06408,3.06408,1.917238,0
2008-02-06,2.95714,2.95714,2.95714,2.95714,1.850323,0
2008-02-11,2.89393,2.89393,2.89393,2.89393,1.810772,0
2008-02-12,2.95202,2.95202,2.95202,2.95202,1.84712,0
2008-02-13,2.97546,2.97546,2.97546,2.97546,1.861787,0
2008-02-14,3.07193,3.07193,3.07193,3.07193,1.92215,0
2008-02-15,3.11516,3.11516,3.11516,3.11516,1.949199,0
2008-02-18,3.10972,3.10972,3.10972,3.10972,1.945795,0
2008-02-19,3.12444,3.12444,3.12444,3.12444,1.955005,0
2008-02-20,3.05286,3.05286,3.05286,3.05286,1.910217,0
2008-02-21,3.08094,3.08094,3.08094,3.08094,1.927787,0
2008-02-22,3.07471,3.07471,3.07471,3.07471,1.923889,0
2008-02-25,3.09096,3.09096,3.09096,3.09096,1.934057,0
2008-02-26,3.1039,3.1039,3.1039,3.1039,1.942154,0
2008-02-27,3.12061,3.12061,3.12061,3.12061,1.95261,0
2008-02-28,3.10021,3.10021,3.10021,3.10021,1.939845,0
2008-02-29,3.05227,3.05227,3.05227,3.05227,1.909848,0
2008-03-03,2.95191,2.95191,2.95191,2.95191,1.847051,0
2008-03-04,2.945,2.945,2.945,2.945,1.842728,0
2008-03-05,2.93601,2.93601,2.93601,2.93601,1.837102,0
2008-03-06,2.94315,2.94315,2.94315,2.94315,1.84157,0
2008-03-07,2.89126,2.89126,2.89126,2.89126,1.809102,0
2008-03-10,2.86137,2.86137,2.86137,2.86137,1.790399,0
2008-03-11,2.88576,2.88576,2.88576,2.88576,1.80566,0
2008-03-12,2.94308,2.94308,2.94308,2.94308,1.841526,0
2008-03-13,2.83013,2.83013,2.83013,2.83013,1.770851,0
2008-03-14,2.86373,2.86373,2.86373,2.86373,1.791876,0
2008-03-17,2.81722,2.81722,2.81722,2.81722,1.762774,0
2008-03-18,2.86195,2.86195,2.86195,2.86195,1.790762,0
2008-03-19,2.86165,2.86165,2.86165,2.86165,1.790574,0
2008-03-20,2.85326,2.85326,2.85326,2.85326,1.785325,0
2008-03-24,2.95648,2.95648,2.95648,2.95648,1.84991,0
2008-03-25,3.02916,3.02916,3.02916,3.02916,1.895388,0
2008-03-26,3.02415,3.02415,3.02415,3.02415,1.892253,0
2008-03-27,3.05419,3.05419,3.05419,3.05419,1.911049,0
2008-03-28,3.06081,3.06081,3.06081,3.06081,1.915191,0
2008-03-31,3.0361,3.0361,3.0361,3.0361,1.89973,0
2008-04-01,3.07546,3.07546,3.07546,3.07546,1.924358,0
2008-04-02,3.15381,3.15381,3.15381,3.15381,1.973383,0
2008-04-03,3.2009,3.2009,3.2009,3.2009,2.002847,0
2008-04-04,3.18529,3.18529,3.18529,3.18529,1.99308,0
2008-04-07,3.2146,3.2146,3.2146,3.2146,2.01142,0
2008-04-08,3.16285,3.16285,3.16285,3.16285,1.979039,0
2008-04-09,3.12201,3.12201,3.12201,3.12201,1.953486,0
2008-04-10,3.09677,3.09677,3.09677,3.09677,1.937693,0
2008-04-11,3.15924,3.15924,3.15924,3.15924,1.97678,0
2008-04-14,3.07494,3.07494,3.07494,3.07494,1.924033,0
2008-04-15,3.08893,3.08893,3.08893,3.08893,1.932786,0
2008-04-16,3.12001,3.12001,3.12001,3.12001,1.952234,0
2008-04-17,3.15894,3.15894,3.15894,3.15894,1.976593,0
2008-04-18,3.15841,3.15841,3.15841,3.15841,1.976261,0
2008-04-21,3.20516,3.20516,3.20516,3.20516,2.005514,0
2008-04-22,3.22137,3.22137,3.22137,3.22137,2.015656,0
2008-04-23,3.22837,3.22837,3.22837,3.22837,2.020036,0
2008-04-24,3.21204,3.21204,3.21204,3.21204,2.009818,0
2008-04-25,3.2238,3.2238,3.2238,3.2238,2.017177,0
2008-04-28,3.23717,3.23717,3.23717,3.23717,2.025542,0
2008-04-29,3.2202,3.2202,3.2202,3.2202,2.014924,0
2008-04-30,3.2,3.2,3.2,3.2,2.002285,0
2008-05-02,3.29,3.29,3.29,3.29,2.058599,0
2008-05-05,3.3,3.3,3.3,3.3,2.064856,0
2008-05-06,3.3,3.3,3.3,3.3,2.064856,0
2008-05-07,3.29,3.29,3.29,3.29,2.058599,0
