Date,Open,High,Low,Close,Adj Close,Volume
2009-02-24,1.62,1.62,1.62,1.62,1.013792,0
2009-02-25,1.66,1.67,1.64,1.67,1.045082,141400
2009-02-26,1.65,1.65,1.63,1.63,1.02005,44000
2009-02-27,1.63,1.63,1.62,1.62,1.013792,52200
2009-03-02,1.62,1.62,1.56,1.56,0.976244,22900
2009-03-03,1.56,1.56,1.55,1.55,0.969986,101400
2009-03-04,1.55,1.55,1.55,1.55,0.969986,0
2009-03-05,1.58,1.58,1.54,1.54,0.963728,20400
2009-03-06,1.53,1.53,1.53,1.53,0.95747,10300
2009-03-09,1.51,1.51,1.49,1.49,0.932438,42400
2009-03-10,1.49,1.49,1.49,1.49,0.932438,5900
2009-03-11,1.52,1.54,1.52,1.54,0.963728,6700
2009-03-12,1.5,1.5,1.5,1.5,0.938696,0
2009-03-13,1.55,1.57,1.55,1.57,0.982502,21000
2009-03-16,1.59,1.59,1.59,1.59,0.995018,0
2009-03-17,1.6,1.6,1.58,1.58,0.98876,10500
2009-03-18,1.59,1.59,1.59,1.59,0.995018,100000
2009-03-19,1.6,1.6,1.59,1.6,1.001276,70000
2009-03-20,1.6,1.6,1.6,1.6,1.001276,10000
2009-03-23,1.63,1.66,1.63,1.66,1.038824,64000
2009-03-24,1.73,1.73,1.69,1.71,1.070113,127800
2009-03-25,1.71,1.71,1.69,1.7,1.063856,11100
2009-03-26,1.73,1.77,1.73,1.77,1.107661,29400
2009-03-27,1.78,1.78,1.74,1.76,1.101403,17200
2009-03-30,1.74,1.74,1.68,1.68,1.051339,7000
2009-03-31,1.67,1.72,1.67,1.71,1.070113,18200
2009-04-01,1.71,1.72,1.71,1.72,1.076371,4300
2009-04-02,1.75,1.8,1.75,1.8,1.126435,125000
2009-04-03,1.82,1.83,1.8,1.81,1.132693,77800
2009-04-06,1.83,1.83,1.83,1.83,1.145209,11000
2009-04-07,1.82,1.82,1.79,1.79,1.120177,2200
2009-04-08,1.77,1.78,1.77,1.78,1.113919,2400
2009-04-09,1.82,1.84,1.82,1.84,1.151467,8000
2009-04-13,1.88,1.89,1.87,1.88,1.176499,28300
2009-04-14,1.87,1.89,1.87,1.87,1.170241,42300
2009-04-15,1.86,1.9,1.86,1.89,1.182757,23200
2009-04-16,1.94,1.95,1.9,1.9,1.189014,28200
2009-04-17,1.95,1.95,1.9,1.9,1.189014,22700
2009-04-20,1.9,1.9,1.89,1.89,1.182757,4500
2009-04-21,1.9,1.9,1.9,1.9,1.189014,0
2009-04-22,1.88,1.88,1.84,1.84,1.151467,25000
2009-04-23,1.85,1.85,1.85,1.85,1.157725,40000
2009-04-24,1.85,1.85,1.85,1.85,1.157725,16000
2009-04-27,1.83,1.83,1.82,1.83,1.145209,24100
2009-04-28,1.83,1.83,1.8,1.81,1.132693,56900
2009-04-29,1.8,1.85,1.8,1.85,1.157725,11500
2009-04-30,1.87,1.91,1.87,1.9,1.189014,26000
2009-05-04,1.93,2.03,1.93,2.02,1.264111,55400
2009-05-05,2.06,2.09,2.05,2.08,1.301658,92700
2009-05-06,2.08,2.19,2.08,2.19,1.370496,87900
2009-05-07,2.22,2.27,2.22,2.25,1.408044,95600
2009-05-08,2.26,2.3,2.22,2.29,1.433076,61600
2009-05-11,2.32,2.32,2.2,2.2,1.376754,35700
2009-05-12,2.18,2.21,2.17,2.2,1.376754,148200
2009-05-13,2.21,2.23,2.21,2.22,1.38927,12800
2009-05-14,2.18,2.18,2.14,2.14,1.339207,261000
2009-05-15,2.18,2.18,2.14,2.14,1.339207,210500
2009-05-18,2.15,2.19,2.14,2.19,1.370496,212000
2009-05-19,2.25,2.28,2.25,2.26,1.414302,260200
2009-05-20,2.29,2.29,2.27,2.29,1.433076,251000
2009-05-21,2.3,2.3,2.25,2.25,1.408044,472500
2009-05-22,2.24,2.26,2.24,2.26,1.414302,259900
2009-05-25,2.28,2.29,2.27,2.28,1.426818,185000
2009-05-26,2.27,2.29,2.27,2.27,1.42056,470000
2009-05-27,2.3,2.36,2.28,2.32,1.45185,927600
2009-05-28,2.3,2.31,2.27,2.3,1.439334,299300
2009-05-29,2.31,2.36,2.31,2.35,1.470624,305200
2009-06-01,2.37,2.42,2.37,2.42,1.51443,45300
2009-06-02,2.46,2.46,2.39,2.39,1.495656,95700
2009-06-03,2.42,2.45,2.4,2.4,1.501914,345800
2009-06-04,2.4,2.4,2.35,2.35,1.470624,207100
2009-06-05,2.4,2.42,2.4,2.41,1.508172,35000
2009-06-08,2.42,2.43,2.34,2.34,1.464366,132100
2009-06-09,2.35,2.37,2.33,2.35,1.470624,282400
2009-06-10,2.39,2.39,2.37,2.39,1.495656,213000
2009-06-11,2.42,2.42,2.38,2.39,1.495656,316800
2009-06-12,2.39,2.4,2.38,2.38,1.489398,52500
2009-06-15,2.38,2.38,2.33,2.35,1.470624,81400
2009-06-16,2.33,2.33,2.28,2.31,1.445592,236300
2009-06-17,2.31,2.31,2.28,2.3,1.439334,93400
2009-06-18,2.28,2.28,2.27,2.27,1.42056,24000
2009-06-19,2.28,2.3,2.27,2.28,1.426818,220700
2009-06-22,2.31,2.31,2.31,2.31,1.445592,2000
2009-06-23,2.27,2.27,2.24,2.26,1.414302,13500
2009-06-24,2.26,2.3,2.25,2.3,1.439334,763000
2009-06-25,2.31,2.32,2.3,2.3,1.439334,558000
2009-06-26,2.34,2.34,2.32,2.32,1.45185,116000
2009-06-29,2.4,2.4,2.32,2.32,1.45185,588200
2009-06-30,2.36,2.36,2.34,2.34,1.464366,530000
2009-07-01,2.33,2.35,2.33,2.35,1.470624,506000
2009-07-02,2.37,2.38,2.32,2.32,1.45185,782100
2009-07-03,2.32,2.33,2.32,2.32,1.45185,2300
2009-07-06,2.32,2.32,2.29,2.29,1.433076,54300
2009-07-07,2.29,2.29,2.29,2.29,1.433076,4700
2009-07-08,2.29,2.29,2.26,2.29,1.433076,10000
2009-07-09,2.34,2.34,2.34,2.34,1.464366,0
2009-07-10,2.34,2.34,2.34,2.34,1.464366,0
