Date,Open,High,Low,Close,Adj Close,Volume
2011-10-20,8.333333,8.35,8.24,8.326667,5.220517,296700
2011-10-21,8.443333,8.49,8.413333,8.49,5.322921,566400
2011-10-24,8.663333,8.663333,8.493333,8.536667,5.352179,889800
2011-10-25,8.506667,8.506667,8.393333,8.396667,5.264405,283200
2011-10-26,8.52,8.52,8.37,8.483333,5.31874,135000
2011-10-27,8.68,8.72,8.6,8.676667,5.439956,818100
2011-10-28,8.686667,8.686667,8.633333,8.67,5.435774,280500
2011-10-31,8.593333,8.61,8.5,8.5,5.329191,731400
2011-11-01,8.4,8.4,8.29,8.306667,5.20798,852900
2011-11-02,8.453333,8.506667,8.36,8.416667,5.276946,970800
2011-11-03,8.55,8.563333,8.416667,8.55,5.360537,1599600
2011-11-04,8.513333,8.516667,8.42,8.513333,5.337549,327000
2011-11-07,8.526667,8.573333,8.443333,8.563333,5.368898,672000
2011-11-08,8.623333,8.676667,8.546667,8.67,5.435774,1395600
2011-11-09,8.53,8.536667,8.383333,8.41,5.272763,1996500
2011-11-10,8.52,8.53,8.423333,8.493333,5.325012,549300
2011-11-11,8.59,8.666667,8.59,8.65,5.423236,397500
2011-11-14,8.64,8.64,8.563333,8.59,5.385619,668100
2011-11-15,8.576667,8.663333,8.56,8.623333,5.406516,435300
2011-11-16,8.57,8.643333,8.493333,8.496667,5.327103,310200
2011-11-17,8.51,8.52,8.35,8.393333,5.262315,771900
2011-11-18,8.456667,8.456667,8.393333,8.426667,5.283213,591600
2011-11-21,8.366667,8.366667,8.206667,8.27,5.184988,881700
2011-11-22,8.266667,8.293333,8.21,8.24,5.16618,451200
2011-11-23,8.193333,8.193333,8.096667,8.096667,5.076315,464700
2011-11-25,8.09,8.156667,8.083333,8.083333,5.067955,159300
2011-11-28,8.27,8.306667,8.23,8.273333,5.187079,432000
2011-11-29,8.326667,8.37,8.293333,8.33,5.222605,327300
2011-11-30,8.543333,8.64,8.523333,8.64,5.416963,568200
2011-12-01,8.673333,8.673333,8.606667,8.626667,5.408607,305100
2011-12-02,8.866667,8.866667,8.6,8.606667,5.396068,883200
2011-12-05,8.723333,8.753333,8.623333,8.67,5.435774,682500
2011-12-06,8.71,8.74,8.646667,8.696667,5.452492,422700
2011-12-07,8.693333,8.763333,8.633333,8.726667,5.471303,598800
2011-12-08,8.703333,8.706667,8.566667,8.583333,5.381438,639300
2011-12-09,8.626667,8.716667,8.613333,8.7,5.454583,365700
2011-12-12,8.656667,8.656667,8.52,8.586667,5.383526,437700
2011-12-13,8.63,8.656667,8.5,8.526667,5.345909,375300
2011-12-14,8.526667,8.53,8.436667,8.46,5.304113,382200
2011-12-15,8.54,8.583333,8.486667,8.496667,5.327103,653100
2011-12-16,8.576667,8.763333,8.416667,8.5,5.329191,321300
2011-12-19,8.566667,8.583333,8.376667,8.4,5.291813,351600
2011-12-20,8.536667,8.62,8.5,8.61,5.424108,588900
2011-12-21,8.626667,8.65,8.566667,8.643333,5.445106,362700
2011-12-22,8.683333,8.686667,8.646667,8.683333,5.470306,742800
2011-12-23,8.71,8.76,8.683333,8.76,5.518604,595800
2011-12-27,8.763333,8.813333,8.756667,8.786667,5.535404,963900
2011-12-28,8.796667,8.796667,8.68,8.693333,5.476604,659700
2011-12-29,8.716667,8.78,8.716667,8.776667,5.529102,328800
2011-12-30,8.776667,8.776667,8.726667,8.726667,5.497605,465000
2012-01-03,8.856667,8.87,8.806667,8.806667,5.548004,751200
2012-01-04,8.793333,8.826667,8.753333,8.806667,5.548004,505200
2012-01-05,8.783333,8.806667,8.713333,8.8,5.543803,542700
2012-01-06,8.806667,8.806667,8.74,8.76,5.518604,459900
2012-01-09,8.773333,8.79,8.736667,8.78,5.531203,720300
2012-01-10,8.86,8.86,8.83,8.84,5.569002,417300
2012-01-11,8.81,8.813333,8.776667,8.806667,5.548004,812700
2012-01-12,8.806667,8.823333,8.76,8.813333,5.552202,411900
2012-01-13,8.766667,8.78,8.716667,8.766667,5.522804,636600
2012-01-17,8.836667,8.866667,8.81,8.816667,5.554302,610800
2012-01-18,8.823333,8.9,8.816667,8.893333,5.602601,535200
2012-01-19,8.93,8.93,8.876667,8.93,5.625701,1591800
2012-01-20,8.943333,8.95,8.91,8.946667,5.636199,2645700
2012-01-23,8.96,8.973333,8.913333,8.946667,5.636199,1037400
2012-01-24,8.91,8.94,8.893333,8.936667,5.6299,1145700
2012-01-25,8.906667,8.996667,8.866667,8.99,5.6635,892500
2012-01-26,9.03,9.033333,8.94,8.956667,5.642498,784800
2012-01-27,8.923333,8.94,8.89,8.916667,5.617302,846600
2012-01-30,8.856667,8.886667,8.82,8.886667,5.598403,986700
2012-01-31,8.933333,8.933333,8.833333,8.87,5.587901,753900
2012-02-01,8.923333,8.966667,8.92,8.926667,5.623602,860100
2012-02-02,8.953333,8.953333,8.913333,8.93,5.625701,948600
2012-02-03,9.013333,9.033333,8.993333,9.023333,5.684497,483000
2012-02-06,8.996667,9.02,8.98,9.016667,5.680299,773700
2012-02-07,9.006667,9.046667,8.963333,9.033333,5.690798,821100
2012-02-08,9.04,9.046667,8.996667,9.033333,5.690798,575100
2012-02-09,9.06,9.06,8.993333,9.03,5.688696,502800
2012-02-10,8.973333,8.98,8.943333,8.98,5.657199,684900
2012-02-13,9.036667,9.036667,8.983333,9.02,5.682399,581700
2012-02-14,9.01,9.02,8.963333,9.02,5.682399,362400
2012-02-15,9.053333,9.053333,8.96,8.973333,5.653,446400
2012-02-16,9.01,9.056667,8.99,9.046667,5.699199,420900
2012-02-17,9.1,9.11,9.07,9.103333,5.734894,512100
2012-02-21,9.133333,9.143333,9.06,9.076667,5.718098,960600
2012-02-22,9.076667,9.09,9.043333,9.063333,5.709697,369300
2012-02-23,9.066667,9.106667,9.04,9.1,5.732797,706800
2012-02-24,9.126667,9.136667,9.11,9.123333,5.747495,280500
2012-02-27,9.09,9.156667,9.066667,9.126667,5.749596,438600
2012-02-28,9.14,9.163333,9.12,9.156667,5.768495,314700
