Date,Open,High,Low,Close,Adj Close,Volume
2001-06-15,55.424999,56.005001,55.174999,55.665001,35.812126,1067400
2001-06-18,55.814999,55.915001,55.310001,55.310001,35.583755,282600
2001-06-19,56.150002,56.165001,55.235001,55.465,35.68346,1777600
2001-06-20,55.375,56.075001,55.375,56.049999,36.059818,476000
2001-06-21,56,56.724998,55.875,56.5,36.349319,240400
2001-06-22,56.450001,56.450001,55.875,56.139999,36.117722,180600
2001-06-25,56.099998,56.189999,55.389999,55.639999,35.885525,30400
2001-06-26,55.049999,55.775002,55.029999,55.494999,35.792015,146600
2001-06-27,55.599998,55.84,55.235001,55.5,35.795242,114000
2001-06-28,55.900002,56.689999,55.900002,56.18,36.23381,357400
2001-06-29,56.025002,56.810001,55.955002,56.5,36.440178,215000
2001-07-02,56.299999,56.970001,56.299999,56.650002,36.536938,290000
2001-07-03,56.575001,56.674999,56.415001,56.619999,36.517593,56800
2001-07-05,56.445,56.470001,55.974998,55.974998,36.101597,627600
2001-07-06,55.5,55.540001,54.5,54.5,35.150276,777000
2001-07-09,54.715,55.099998,54.650002,54.849998,35.376019,850000
2001-07-10,55.130001,55.154999,54.125,54.125,34.908417,218000
2001-07-11,54.224998,54.259998,53.630001,54.195,34.953571,47200
2001-07-12,54.724998,55.544998,54.720001,55.48,35.782341,64800
2001-07-13,55.200001,55.869999,55.150002,55.744999,35.953251,430000
2001-07-16,55.775002,55.775002,55.040001,55.099998,35.537254,46400
2001-07-17,55,55.75,54.869999,55.75,35.956482,183400
2001-07-18,55.275002,55.544998,54.955002,55.169998,35.582401,54400
2001-07-19,55.875,56.119999,55.25,55.48,35.782341,18600
2001-07-20,55.5,55.645,55.25,55.485001,35.785576,11600
2001-07-23,55.625,55.695,54.525002,54.525002,35.166401,52000
2001-07-24,54.334999,54.52,53.400002,53.77,34.679455,102400
2001-07-25,53.849998,54.470001,53.73,54.450001,35.118027,519200
2001-07-26,54.34,55.145,54.195,55.145,35.56628,65000
2001-07-27,55.185001,55.419998,54.869999,55.240002,35.627552,208000
2001-07-30,55.400002,55.400002,54.955002,55.195,35.598534,25600
2001-07-31,55.25,55.919998,55.205002,55.419998,35.743649,119200
2001-08-01,55.599998,55.970001,55.474998,55.66,35.898434,237400
2001-08-02,56.174999,56.200001,55.625,55.834999,36.011299,62200
2001-08-03,55.799999,55.799999,55.27,55.639999,35.885525,17600
2001-08-06,55.599998,55.599998,54.91,55,35.472771,30400
2001-08-07,54.950001,55.169998,54.900002,55.099998,35.537254,29200
2001-08-08,54.924999,55.220001,54.049999,54.099998,34.892281,54400
2001-08-09,54.044998,54.259998,53.805,54.259998,34.995487,56200
2001-08-10,54.299999,54.625,53.575001,54.48,35.137375,114200
2001-08-13,54.619999,54.73,54.360001,54.575001,35.198658,34200
2001-08-14,54.775002,54.950001,54.355,54.455002,35.121262,38600
2001-08-15,54.695,54.695,53.985001,53.985001,34.818123,49800
2001-08-16,53.945,54.150002,53.549999,54.150002,34.924564,42800
2001-08-17,53.860001,53.900002,53.169998,53.325001,34.392437,84600
2001-08-20,53.375,53.724998,53.349998,53.700001,34.634304,71800
2001-08-21,53.799999,54.150002,52.950001,52.950001,34.1506,69800
2001-08-22,53.290001,53.575001,52.860001,53.439999,34.466629,326800
2001-08-23,53.450001,53.535,53.25,53.369999,34.421471,31000
2001-08-24,53.5,54.345001,53.404999,54.345001,35.050327,52400
2001-08-27,54.200001,54.349998,54,54.150002,34.924564,75600
2001-08-28,54.075001,54.075001,53.244999,53.244999,34.340862,61600
2001-08-29,53.474998,53.474998,52.650002,52.744999,34.018375,90000
2001-08-30,52.625,52.82,51.705002,51.955002,33.508862,111800
2001-08-31,52.075001,52.560001,51.915001,52.174999,33.650745,69800
2001-09-04,52.169998,53.035,51.900002,51.900002,33.473381,71600
2001-09-05,51.924999,52.060001,51.259998,51.825001,33.425018,45800
2001-09-06,51.705002,51.705002,50.775002,50.775002,32.747818,90600
2001-09-07,50.52,50.84,49.75,49.75,32.086742,133200
2001-09-10,49.650002,50.299999,49.375,50.125,32.328598,75200
2001-09-17,47.125,48.549999,47.125,47.744999,30.793571,410000
2001-09-18,47.724998,48,47.075001,47.134998,30.400143,318400
2001-09-19,47.25,47.525002,45.099998,46.5,29.990606,257200
2001-09-20,45.75,45.950001,45,45,29.023159,218200
2001-09-21,43.5,45,43.400002,44.275002,28.555571,223200
2001-09-24,45.5,45.974998,45.130001,45.695,29.57663,578000
2001-09-25,45.974998,46.32,45.5,46.125,29.854956,190000
2001-09-26,46.424999,46.424999,45.634998,45.77,29.625177,244200
2001-09-27,45.799999,46.445,45.380001,46.224998,29.919676,406200
2001-09-28,46.674999,47.474998,46.674999,47.474998,30.728756,365800
2001-10-01,47.099998,47.299999,46.654999,47.044998,30.450434,922000
2001-10-02,47.025002,47.669998,47,47.625,30.825846,983400
2001-10-03,47.174999,48.900002,47.174999,48.465,31.369524,722600
2001-10-04,49.095001,49.490002,48.625,48.625,31.473112,579000
2001-10-05,48.625,48.775002,47.965,48.650002,31.489296,338000
2001-10-08,48.224998,48.645,48.154999,48.325001,31.27894,726800
2001-10-09,48.299999,48.325001,47.955002,48.005001,31.071806,466400
2001-10-10,48.075001,49.174999,48.075001,49.145,31.809689,665600
2001-10-11,49.875,50.130001,49.724998,50.044998,32.392216,540200
2001-10-12,49.724998,49.955002,48.869999,49.665001,32.146263,353400
2001-10-15,49.400002,49.775002,49.174999,49.735001,32.191555,458600
2001-10-16,49.700001,50.305,49.650002,50.014999,32.372803,1283000
2001-10-17,50.395,50.505001,49,49,31.715837,516200
2001-10-18,49.005001,49.139999,48.540001,48.744999,31.550768,476600
2001-10-19,48.555,49.044998,48.25,48.880001,31.638157,536800
2001-10-22,48.849998,49.715,48.805,49.610001,32.110645,449800
2001-10-23,49.849998,50.084999,49.375,49.424999,31.990911,397600
2001-10-24,49.5,49.695,49.205002,49.400002,31.974752,445000
2001-10-25,49,50.150002,48.695,50.099998,32.427822,773600
2001-10-26,50.125,50.575001,49.990002,50.369999,32.602573,308000
2001-10-29,50.200001,50.200001,49.200001,49.200001,31.845263,339800
2001-10-30,48.889999,48.889999,48.084999,48.389999,31.321003,436800
2001-10-31,48.674999,49.07,48.450001,48.450001,31.35984,227400
2001-11-01,48.724998,49.529999,48.064999,49.470001,32.020042,343200
2001-11-02,49.099998,49.744999,49.099998,49.549999,32.071823,308000
2001-11-05,50.400002,50.43,50.105,50.259998,32.531391,241400
2001-11-06,50.209999,51.005001,50,50.990002,33.003868,388000
2001-11-07,51,51.369999,50.84,50.900002,32.945625,154800
2001-11-08,51.275002,51.744999,50.889999,50.93,32.96505,128200
2001-11-09,50.915001,51.130001,50.665001,51.040001,33.03624,207400
2001-11-12,50.490002,51.064999,50.029999,50.950001,32.977993,368400
2001-11-13,51.599998,51.939999,51.439999,51.849998,33.560524,153400
2001-11-14,52.424999,52.424999,51.715,52.169998,33.767643,207800
2001-11-15,52.099998,52.299999,51.810001,52.005001,33.660862,203800
2001-11-16,52.125,52.165001,51.555,51.985001,33.647892,163800
2001-11-19,52.25,52.514999,52.040001,52.514999,33.990967,273800
2001-11-20,52.575001,52.610001,52.134998,52.139999,33.748234,84000
2001-11-21,52.200001,52.200001,51.630001,51.82,33.541096,128600
2001-11-23,51.900002,52.544998,51.900002,52.455002,33.952114,90800
2001-11-26,52.665001,52.880001,52.334999,52.775002,34.159241,139000
2001-11-27,52.75,53.174999,52.200001,52.630001,34.065376,241400
2001-11-28,52.450001,52.450001,51.52,51.52,33.346928,207600
2001-11-29,51.91,52.310001,51.555,52.310001,33.858261,170400
2001-11-30,52.189999,52.395,52.139999,52.139999,33.748234,331800
2001-12-03,51.834999,51.950001,51.57,51.779999,33.515217,263800
2001-12-04,51.98,52.459999,51.825001,52.459999,33.95536,184600
2001-12-05,52.974998,53.91,52.895,53.75,34.790337,201000
2001-12-06,53.849998,53.950001,53.509998,53.650002,34.725586,275800
2001-12-07,53.68,53.68,53.095001,53.535,34.651165,173400
2001-12-10,53.200001,53.305,52.474998,52.525002,33.997425,346800
2001-12-11,52.75,52.994999,52.264999,52.389999,33.910049,254400
2001-12-12,52.575001,52.595001,51.849998,52.360001,33.890629,315400
2001-12-13,51.990002,52.139999,51.5,51.580002,33.385769,111000
2001-12-14,51.525002,51.924999,51.400002,51.814999,33.537857,192400
2001-12-17,51.849998,52.389999,51.814999,52.195,33.783844,81600
2001-12-18,52.700001,52.830002,52.555,52.735001,34.133347,324600
2001-12-19,52.5,53.139999,52.380001,52.974998,34.288712,112200
2001-12-20,52.950001,53.035,52.5,52.5,33.981255,131800
2001-12-21,52.575001,52.919998,52.549999,52.779999,34.162468,338200
2001-12-24,52.700001,52.759998,52.685001,52.700001,34.238155,123200
2001-12-26,52.575001,53.310001,52.575001,52.959999,34.407066,94600
2001-12-27,53.099998,53.275002,53.009998,53.264999,34.605225,94400
2001-12-28,53.470001,53.630001,53.330002,53.424999,34.709206,220000
2001-12-31,53.474998,53.474998,52.695,52.695,34.234913,137600
2002-01-02,53,53.169998,52.305,53.125,34.514267,1627600
2002-01-03,53.23,53.695,53.174999,53.695,34.884602,354400
2002-01-04,53.900002,54.205002,53.645,54.049999,35.115238,487200
2002-01-07,54.375,54.375,53.68,53.700001,34.887836,760400
2002-01-08,53.810001,53.810001,53.424999,53.544998,34.78717,278600
2002-01-09,53.575001,54.195,53.240002,53.365002,34.670197,219200
2002-01-10,53.325001,53.525002,53.169998,53.325001,34.644199,281000
2002-01-11,53.5,53.5,52.865002,52.880001,34.35511,80000
2002-01-14,52.849998,52.849998,52.465,52.465,34.08551,442600
2002-01-15,52.700001,52.955002,52.459999,52.825001,34.319382,271800
2002-01-16,52.424999,52.52,51.950001,51.950001,33.750912,346400
2002-01-17,52.450001,52.525002,52.174999,52.490002,34.101738,212000
2002-01-18,52.459999,52.459999,51.875,52.005001,33.786621,215800
2002-01-22,52.424999,52.424999,51.549999,51.599998,33.523533,140000
2002-01-23,51.724998,52.169998,51.474998,52.044998,33.812618,42000
2002-01-24,52.375,52.549999,52.23,52.275002,33.962051,50800
2002-01-25,52.224998,52.514999,52.044998,52.360001,34.017292,47000
2002-01-28,52.474998,52.535,52.049999,52.32,33.991287,439400
2002-01-29,52.5,52.535,50.924999,51.02,33.146687,117800
2002-01-30,51.099998,51.580002,50.215,51.5,33.458553,300800
2002-01-31,51.825001,52.235001,51.66,52.235001,33.936073,237400
2002-02-01,52.334999,52.334999,51.814999,51.93,33.737915,199200
2002-02-04,51.900002,51.900002,50.619999,50.674999,32.922565,183000
2002-02-05,50.724998,50.98,50.23,50.494999,32.805626,204800
2002-02-06,50.375,50.674999,50.005001,50.16,32.587978,304200
2002-02-07,50.009998,50.544998,49.950001,49.950001,32.451553,198200
2002-02-08,50.075001,50.68,49.965,50.665001,32.916073,160600
2002-02-11,50.790001,51.43,50.724998,51.365002,33.370853,381200
2002-02-12,51.25,51.490002,51.044998,51.240002,33.289646,271000
2002-02-13,51.34,51.834999,51.34,51.715,33.598228,91800
2002-02-14,51.924999,52.07,51.470001,51.645,33.552746,110200
2002-02-15,51.775002,51.775002,51.009998,51.084999,33.188915,51600
2002-02-19,50.985001,50.985001,50.064999,50.134998,32.571743,181000
2002-02-20,50.25,50.759998,49.724998,50.759998,32.977806,121400
2002-02-21,50.634998,50.91,49.950001,49.950001,32.451553,46200
2002-02-22,49.900002,50.599998,49.77,50.314999,32.688679,47600
2002-02-25,50.575001,51.299999,50.575001,51.209999,33.270145,146000
2002-02-26,51.349998,51.494999,50.855,51.380001,33.380585,51400
2002-02-27,51.259998,51.895,50.950001,51.200001,33.263626,2348200
2002-02-28,51.450001,51.799999,51.25,51.32,33.341595,161200
2002-03-01,51.439999,52.345001,51.435001,52.345001,34.00753,304800
2002-03-04,52.5,53.369999,52.349998,53.325001,34.644199,302600
2002-03-05,53.325001,53.555,52.950001,53.025002,34.449333,136600
2002-03-06,53.125,53.91,53.02,53.794998,34.949577,236600
2002-03-07,53.985001,54.044998,53.369999,53.57,34.803383,74600
2002-03-08,54.299999,54.34,53.77,53.970001,35.063248,371200
2002-03-11,54,54.345001,53.700001,54.145,35.176971,55600
2002-03-12,53.75,54.154999,53.494999,54.040001,35.108753,73000
2002-03-13,54,54,53.435001,53.535,34.780643,344400
2002-03-14,53.509998,53.68,53.400002,53.490002,34.7514,57000
2002-03-15,53.674999,54.075001,53.599998,53.959999,35.056759,60000
2002-03-18,54.299999,54.345001,53.779999,54,35.082748,378600
2002-03-19,54.325001,54.419998,54.110001,54.25,35.245159,97200
2002-03-20,54,54,53.375,53.375,34.676701,267600
2002-03-21,53.474998,53.705002,52.935001,53.610001,34.829372,70800
2002-03-22,53.599998,53.700001,53.279999,53.400002,34.692955,80800
2002-03-25,53.299999,53.34,52.450001,52.450001,34.171741,294400
2002-03-26,52.599998,53.189999,52.560001,52.814999,34.409519,88800
2002-03-27,52.889999,53.224998,52.735001,53.130001,34.614769,63200
2002-03-28,53.174999,53.529999,53.055,53.055,34.565907,637200
2002-04-01,53,53.235001,52.525002,53.09,34.588707,3147600
2002-04-02,52.965,53,52.740002,52.744999,34.363926,1023600
2002-04-03,52.825001,52.825001,52,52.169998,33.989311,103600
2002-04-04,52.25,52.450001,52.035,52.330002,34.093567,103200
2002-04-05,52.619999,52.619999,52.134998,52.244999,34.038181,91800
2002-04-08,51.825001,52.375,51.68,52.375,34.122875,155000
2002-04-09,52.5,52.525002,52.029999,52.099998,33.943707,74000
2002-04-10,52.174999,52.715,52.165001,52.715,34.344379,39800
2002-04-11,52.650002,52.650002,51.525002,51.525002,33.569077,95000
2002-04-12,51.799999,51.994999,51.525002,51.93,33.832958,79000
2002-04-15,51.974998,52.080002,51.435001,51.619999,33.630978,78200
2002-04-16,52.130001,52.75,52.115002,52.700001,34.334602,77600
2002-04-17,52.724998,52.939999,52.5,52.619999,34.282497,56800
2002-04-18,52.599998,52.82,51.880001,52.57,34.249924,71600
2002-04-19,52.75,52.75,52.48,52.59,34.262962,36400
2002-04-22,52.424999,52.424999,51.75,51.845001,33.777557,66000
2002-04-23,51.900002,51.994999,51.5,51.57,33.598404,90800
2002-04-24,51.599998,51.884998,51.150002,51.150002,33.324776,53000
2002-04-25,51.025002,51.285,50.900002,51.235001,33.380157,77600
2002-04-26,51.400002,51.41,50.279999,50.279999,32.757961,133600
2002-04-29,50.474998,50.560001,49.950001,50.049999,32.608109,204000
2002-04-30,50.25,50.814999,50,50.689999,33.025066,109400
2002-05-01,50.689999,51.110001,50.099998,51.110001,33.298717,123400
