Date,Open,High,Low,Close,Adj Close,Volume
2019-07-23,80,80,80,80,80,0
2019-07-24,80.263603,80.263603,80.263603,80.263603,80.263603,0
2019-07-25,79.925003,79.925003,79.925003,79.925003,79.925003,0
2019-07-26,79.989998,80.120003,79.989998,80.065002,80.065002,110
2019-07-29,80.120003,80.269997,80,80.035004,80.035004,2811
2019-07-30,79.849998,79.849998,79.629997,79.605003,79.605003,354
2019-07-31,79.790001,79.790001,79.650002,79.699997,79.699997,1516
2019-08-01,79.139999,79.139999,79.139999,79.635002,79.635002,51
2019-08-02,78.629997,78.629997,77.580002,77.415001,77.415001,3309
2019-08-05,77.300003,77.300003,76,75.949997,75.949997,735
2019-08-06,76.07,76.25,75.769997,76.010002,76.010002,6528470
2019-08-07,76.610001,76.610001,75.400002,75.849998,75.849998,2035
2019-08-08,77.160004,77.379997,77.160004,77.260002,77.260002,337
2019-08-09,77.529999,77.730003,76.989998,76.735001,76.735001,5154
2019-08-12,77.099998,77.099998,76.599998,76.5,76.5,150
2019-08-13,76,77.389999,76,77.095001,77.095001,4887
2019-08-14,77.07,77.07,75.599998,75.5,75.5,106727
2019-08-15,75.779999,75.779999,75,75.144997,75.144997,3447
2019-08-16,76.059998,76.290001,76.059998,76.190002,76.190002,610
2019-08-19,77.040001,77.089996,77.010002,77.084999,77.084999,503
2019-08-20,76.855003,76.855003,76.855003,76.855003,76.855003,0
2019-08-21,77.199997,77.199997,76.940002,77.224998,77.224998,1026
2019-08-22,77.220001,77.349998,77.220001,76.800003,76.800003,2702
2019-08-23,77.349998,77.349998,77,76.18,76.18,335
2019-08-27,76.25,76.629997,76.080002,76.154999,76.154999,1370
2019-08-28,76,76.239998,76,76.370003,76.370003,73
2019-08-29,77.209999,77.209999,77.209999,77.125,77.125,272
2019-08-30,77.360001,77.839996,77.360001,77.110001,77.110001,804
2019-09-02,77.330002,77.330002,77.110001,77.080002,77.080002,101435
2019-09-03,76.959999,76.959999,76.75,76.830002,76.830002,47808
2019-09-04,77.650002,77.849998,77.629997,77.849998,77.849998,23625
2019-09-05,78.410004,78.900002,78.339996,78.815002,78.815002,1564
2019-09-06,78.889999,79,78.809998,78.980003,78.980003,5172
2019-09-09,79.110001,79.239998,78.980003,79.065002,79.065002,7480
2019-09-10,78.720001,78.82,78.720001,78.695,78.695,1931
2019-09-11,79.279999,79.279999,79.220001,79.349998,79.349998,836
2019-09-12,79.82,79.970001,79.75,79.925003,79.925003,20338
2019-09-13,80.220001,80.220001,80.099998,80.195,80.195,205
2019-09-16,79.769997,79.830002,79.599998,79.775002,79.775002,329
2019-09-17,79.610001,79.769997,79.5,79.730003,79.730003,825
2019-09-18,79.800003,79.800003,79.769997,79.709999,79.709999,1374
2019-09-19,79.690002,80.279999,79.690002,80.239998,80.239998,942
2019-09-20,80.150002,80.209999,80.080002,80.029999,80.029999,824
2019-09-23,79.980003,79.980003,79.400002,79.544998,79.544998,8492
2019-09-24,79.760002,79.860001,79.639999,79.514999,79.514999,6596
2019-09-25,79.07,79.080002,78.629997,78.940002,78.940002,7593
2019-09-26,78.989998,78.989998,78.989998,78.955002,78.955002,100
2019-09-27,79.360001,79.449997,79.25,79.290001,79.290001,5678
2019-09-30,79.199997,79.199997,78.940002,79.099998,79.099998,1718
2019-10-01,79.410004,79.410004,78.739998,78.639999,78.639999,5106
2019-10-02,78.57,78.57,77,76.940002,76.940002,3857
2019-10-03,77.129997,77.129997,76.720001,77.18,77.18,2837
2019-10-04,77.540001,77.779999,77.540001,77.875,77.875,820
2019-10-07,77.980003,78.099998,77.980003,78.32,78.32,229
2019-10-08,78.400002,78.400002,77.660004,77.205002,77.205002,795
2019-10-09,77.309998,77.309998,77.309998,77.529999,77.529999,720
2019-10-10,77.779999,77.779999,77.779999,78.389999,78.389999,100
2019-10-11,79.639999,79.639999,79.639999,79.739998,79.739998,204
2019-10-14,79.470001,79.470001,79.129997,79.139999,79.139999,827
2019-10-15,79.690002,79.690002,79.419998,79.980003,79.980003,2776
2019-10-16,79.949997,79.949997,79.93,79.925003,79.925003,376
2019-10-17,79.879997,80.510002,79.870003,80.150002,80.150002,7040
2019-10-18,80,80.089996,79.949997,80.010002,80.010002,16900
2019-10-21,80.110001,80.400002,80.110001,80.294998,80.294998,1656
2019-10-22,80.57,80.57,80.290001,80.495003,80.495003,509
2019-10-23,80.120003,80.290001,80,80.330002,80.330002,3250
2019-10-24,80.779999,80.779999,80.779999,80.57,80.57,471
2019-10-25,80.639999,80.910004,80.480003,80.900002,80.900002,694
2019-10-28,81.099998,81.32,80.980003,81.309998,81.309998,1109
2019-10-29,81.300003,81.32,81.099998,81.324997,81.324997,2251
2019-10-30,81.290001,81.290001,80.959999,81.175003,81.175003,164
2019-10-31,81.730003,81.730003,81,81.029999,81.029999,2198
2019-11-01,81.5,81.959999,81.419998,81.879997,81.879997,1715
2019-11-04,82.379997,82.610001,82.379997,82.455002,82.455002,6027
2019-11-05,82.620003,82.68,82.400002,82.400002,82.400002,6403
2019-11-06,82.349998,82.489998,82.349998,82.345001,82.345001,4829
2019-11-07,82.910004,82.949997,82.779999,82.830002,82.830002,1573
2019-11-08,82.660004,82.660004,82.419998,82.425003,82.425003,21039
2019-11-11,82.330002,82.349998,82.150002,82.389999,82.389999,13952
